_id,Yil,Birim,Ambalaj,Cam,Bitkisel_Yag,Atik_Pil,Elektronik_Atik,Atik_Ilac,Tekstil
1,2000,kg,121.210,,,,,,
2,2001,kg,1.440.064,,,,,,
3,2002,kg,1.672.566,,,,,,
4,2003,kg,1.212.260,,,,,,
5,2004,kg,1.315.390,,,,,,
6,2005,kg,2.217.638,,,,,,
7,2006,kg,5.729.872,,,,,,
8,2007,kg,6.021.973,,,,,,
9,2008,kg,8.696.337,,25.785,,,,
10,2009,kg,9.332.979,,309.252,10.880,42.200,,
11,2010,kg,8.320.940,,382.140,8.860,94.438,,
12,2011,kg,9.328.520,,429.333,9.130,62.500,,
13,2012,kg,9.803.700,,415.873,7.820,40.440,,
14,2013,kg,9.287.045,1.105.000,1.460.224,6.060,61.000,,
15,2014,kg,9.969.659,1.581.000,599.784,4.198,60.000,,
16,2015,kg,7.433.011,1.837.000,621.375,7.360,50.838,,
17,2016,kg,7.224.000,3.297.000,650.034,7.217,60.812,337,
18,2017,kg,7.797.000,3.923.000,653.800,6.780,62.300,310,254.000
19,2018,kg,8.176.545,3.495.000,567.302,3.687,47.178,927,443.480
20,2019,kg,8.759.000,4.268.000,556.620,10.012,33.002,980,82.840
21,2020,kg,6.922.000,4.287.000,417.500,7.764,23.654,350,37.015
22,2021,kg,6.964.000,2.338.000,513.000,8.454,27.000,2.000,13.000
